,A,Prob,P
41731,0,0.30220519471370677,1
7752,0,0.058766129630932175,0
42408,1,0.444202790742474,1
25662,0,0.0708313557854289,0
14842,0,0.027847123172659662,0
3559,0,0.03131606726503254,0
3758,0,0.07094651071387102,0
8741,0,0.023210827294484176,0
22707,1,0.09923950022481029,0
5643,1,0.050028004540992314,0
24107,1,0.8440593203227743,1
12173,1,0.9694083113600112,1
9173,0,0.0998124041211469,0
4628,0,0.0833869550486492,0
40204,0,0.3068487267480407,1
35723,0,0.061044047704430664,0
37243,0,0.11657333314145077,0
41515,0,0.27468285776801815,1
25664,1,0.5775146724094914,1
28771,0,0.2261494272082377,1
42934,1,0.6077920286567938,1
3725,0,0.4663236326372813,1
36511,0,0.02287202688479455,0
28583,1,0.10753044850766366,0
14551,0,0.1111798308937002,0
37832,0,0.2073637184114519,1
38750,0,0.11377649314969368,0
17066,0,0.07964656868209008,0
6640,0,0.04083641947381532,0
22924,1,0.6232292411615394,1
34569,0,0.028027023568460846,0
23005,1,0.5476504944814892,1
32990,0,0.07651973622884724,0
43459,1,0.7372189125195298,1
33330,0,0.03797872251114078,0
41095,0,0.03983963424779383,0
26843,0,0.019655584702503132,0
28515,0,0.01762916372408575,0
8701,0,0.44331129569812394,1
11114,0,0.38999956702856026,1
33497,0,0.13316876278252238,0
6334,0,0.023847163468164886,0
44880,1,0.42477765145829044,1
7155,0,0.04014547808802933,0
31742,0,0.10737296815716793,0
22177,0,0.03320852052865625,0
1864,0,0.052215658851787555,0
9242,0,0.7329674269928742,1
44815,1,0.4683859602722145,1
14102,0,0.0684772831122252,0
1085,0,0.17098004170462203,0
7938,0,0.029638341778588536,0
13058,0,0.058449633113653955,0
19801,0,0.1287033298650658,0
25056,1,0.9134788416122748,1
43488,1,0.12400417421003034,0
9894,0,0.041004906264481014,0
5476,0,0.0321329031019807,0
19678,0,0.42727966959368785,1
33360,0,0.18764924446034972,0
42796,1,0.3005832569046479,1
15602,0,0.10896810204724915,0
40131,0,0.07181063862799919,0
20487,1,0.14289724686312794,0
3452,0,0.17477475311691024,0
19687,0,0.2762844014170927,1
2814,0,0.10091103359182725,0
15335,0,0.20477081053013152,1
20934,0,0.17916345537114756,0
24433,0,0.22114538014720792,1
35784,0,0.2330579992163466,1
26253,0,0.18377467687098673,0
25473,0,0.10363593915495288,0
5949,0,0.16305467118043984,0
22704,0,0.3061713013450706,1
7577,0,0.3477801015538336,1
10879,0,0.2602575579467251,1
19194,0,0.9679820041733922,1
7128,0,0.15260101076925744,0
31752,0,0.1536721742480597,0
14606,0,0.08614490198316499,0
13487,1,0.08450565658107655,0
2661,0,0.08267172317383115,0
10849,0,0.39589328897059967,1
18929,0,0.23616161503214195,1
32695,0,0.3112755887814014,1
1387,0,0.06253933987262855,0
36097,0,0.19010431496931693,0
8216,0,0.2682404705338815,1
20086,1,0.47841826709054974,1
25960,1,0.25584623943453005,1
1421,0,0.06583014436224208,0
35295,0,0.14197793845070825,0
3923,0,0.05893337819002782,0
40876,0,0.566287224737408,1
44502,1,0.45362838550644397,1
3439,0,0.12199632167397984,0
25187,0,0.3360588471701239,1
32476,0,0.05030357056732047,0
24947,0,0.03238130922288836,0
39738,0,0.10558576361278017,0
39044,0,0.0355913988580769,0
44853,1,0.14426644458277368,0
31846,0,0.15905063183544116,0
533,0,0.19505221922972393,0
36006,0,0.04306247745286753,0
19322,0,0.17546810076398525,0
11319,0,0.23653306672768573,1
18100,0,0.165189900739113,0
2476,0,0.15610308323237154,0
42933,1,0.4002143728798048,1
12330,0,0.02596410544228924,0
3196,1,0.28838838423436675,1
8459,1,0.3542431206998584,1
35737,0,0.08631349490497292,0
19660,0,0.7144104491363196,1
8039,0,0.04974433954009977,0
4237,0,0.02518587858496199,0
24403,0,0.04442415452747758,0
26307,0,0.07951280484511185,0
7654,1,0.7728790149480147,1
39237,0,0.3086615638033897,1
38288,0,0.31176797784621885,1
4470,0,0.1829650516207032,0
31375,0,0.021356749334094316,0
10915,0,0.024324799934625694,0
7330,0,0.03738477172753967,0
20239,0,0.024839815646975676,0
35618,0,0.07306347340188651,0
36676,0,0.05494053222898588,0
226,1,0.9576132948715623,1
28014,0,0.3201706502407753,1
23207,0,0.11523299933127029,0
9313,0,0.04155784169745651,0
27742,0,0.07783523944239328,0
10828,0,0.25983939817046403,1
2877,0,0.6466785555857035,1
34832,0,0.08895985614593542,0
20524,0,0.1760383457593492,0
6108,1,0.6686013884636749,1
14680,0,0.8598199021796704,1
15008,1,0.05964423866655303,0
1905,0,0.016836376272199336,0
15723,0,0.04000069328837963,0
4590,0,0.1510339682597935,0
29204,0,0.03018905519454775,0
7965,0,0.14218241177488603,0
4318,0,0.10541572688417382,0
10230,0,0.43243961331951186,1
6748,1,0.8457621617790512,1
36047,0,0.46255063607369035,1
8953,1,0.4912790659655492,1
37645,0,0.029453413164713414,0
6213,1,0.27070058475386566,1
10000,0,0.01719959392544411,0
7931,0,0.15020292501357743,0
41916,0,0.15379110918479247,0
31649,1,0.6139864257106267,1
12286,1,0.6861148036624806,1
1436,0,0.10927940487705398,0
19179,0,0.13140385006675587,0
43369,1,0.6412996211491603,1
37176,0,0.1455237066950251,0
42873,1,0.6410451760906162,1
18034,1,0.5388498306835742,1
9541,0,0.13424883962078063,0
8609,0,0.023307947117758538,0
1476,0,0.1819906097854277,0
31585,0,0.013256362634081443,0
9136,1,0.6082177117507457,1
8435,0,0.06036304240461665,0
32464,0,0.1328021343387721,0
4343,0,0.25655029442091054,1
1073,1,0.6342527036288538,1
40514,0,0.2985173348419224,1
43461,1,0.1106334716533166,0
16781,0,0.3049099052445147,1
25048,0,0.2606403385131657,1
27613,0,0.060034001331913535,0
19517,0,0.43650832723084726,1
41905,0,0.15559112722510246,0
32032,0,0.12581479923459088,0
6626,0,0.07999893397856728,0
16054,0,0.1167198286739758,0
39357,0,0.044776917331917625,0
18162,1,0.3054680619791292,1
40579,0,0.14368164293487543,0
29994,1,0.5783795653171122,1
766,0,0.1612040419717074,0
27521,0,0.20570059736173332,1
4491,0,0.07614471718313295,0
26996,0,0.0972371355155386,0
18795,0,0.04403430252073844,0
41451,0,0.26814716920373466,1
13082,0,0.11495226513427986,0
9162,1,0.2730809276340966,1
32535,1,0.04412689847954102,0
6120,0,0.08630545885955065,0
9272,0,0.33813840404661144,1
43108,1,0.7865667375604196,1
37392,0,0.12558323873908722,0
24480,0,0.018769482780658188,0
404,1,0.9372755295129765,1
18355,1,0.31015076544823567,1
35887,0,0.06906652410349962,0
25263,0,0.2961077926072893,1
41877,0,0.31211534283606374,1
24301,0,0.01291377752311232,0
29515,0,0.10974029092354044,0
19429,0,0.659280524239836,1
29956,0,0.18006967972863025,0
23510,1,0.08671759430992694,0
30298,0,0.051161550460374135,0
36141,0,0.050151319896563885,0
23073,0,0.01999673216201351,0
35054,0,0.12595184884795027,0
8530,0,0.07740231178561997,0
24641,0,0.36435791614674984,1
40707,0,0.3181611229757057,1
24401,0,0.098456862365998,0
20902,0,0.26278374791675996,1
39012,0,0.16307904051999936,0
6314,1,0.12822901457627117,0
32462,0,0.01158411750497291,0
10502,1,0.7808825271141904,1
7353,0,0.10352473486292178,0
33544,0,0.04903050526383391,0
44116,1,0.3738812481602356,1
4552,0,0.4063587620210963,1
26134,1,0.7933773680577533,1
11634,0,0.09061178904083736,0
11256,0,0.46852620192942573,1
102,0,0.04824424251829377,0
9413,0,0.028228025028806555,0
16586,0,0.0458286115052598,0
42340,1,0.5286345790555507,1
37960,0,0.4585143607879329,1
26210,0,0.26793746255245365,1
15846,0,0.04329985072724597,0
25917,1,0.06278510721051042,0
24110,1,0.6326354876724657,1
1594,0,0.02341834443093189,0
21911,0,0.03589127447308314,0
16780,0,0.0704034143503937,0
22005,0,0.13405974407762541,0
10454,0,0.0313296936627719,0
34298,0,0.1842772805458414,0
16807,1,0.10888918238916227,0
26978,0,0.2287661392611786,1
35473,0,0.020722186249555834,0
29968,0,0.31388779381728515,1
14434,0,0.12038382187008403,0
43942,1,0.5016496664527772,1
29144,0,0.1477845399175277,0
30035,0,0.0669633759708505,0
32103,0,0.2772653262894574,1
23801,0,0.2750987790553743,1
16189,0,0.32891838644555377,1
14518,0,0.021148615265305905,0
44314,1,0.5505063664754003,1
36641,0,0.028802283940675605,0
2334,0,0.026642664332644367,0
23944,1,0.8105331580063759,1
33686,0,0.1250789888455169,0
32197,1,0.03141059319268756,0
43660,1,0.2948593245259937,1
33288,0,0.4875473623034088,1
4555,0,0.18630956896063336,0
20477,0,0.20128273394482146,1
807,0,0.07800596702815826,0
21125,1,0.2939716391350454,1
1736,0,0.023066931937345464,0
41272,0,0.016280038860556175,0
3982,0,0.06387158667223321,0
13557,0,0.20854357985738942,1
11478,0,0.09361975836725189,0
4516,0,0.20028789770342062,1
35409,0,0.13054501027355453,0
32652,0,0.03199254596409279,0
7618,0,0.08960108117281691,0
39595,0,0.1935635586292177,0
44952,1,0.1697210049629463,0
27740,0,0.030034956221212352,0
40759,0,0.03627893470538661,0
6742,0,0.2608825822319295,1
14199,0,0.028699939244088733,0
5962,0,0.08491438156646754,0
13682,0,0.022911780016290795,0
280,0,0.025736876039667827,0
23112,0,0.028209435223122546,0
19002,0,0.03543579008474575,0
43878,1,0.8521698129861264,1
24261,0,0.08508715008410982,0
14292,0,0.043494508545005535,0
26979,0,0.05070933592541658,0
28049,1,0.42999439390672384,1
31451,1,0.7777063866242412,1
2106,0,0.038392245651014956,0
5579,0,0.1412042016877722,0
22043,0,0.02248945428030396,0
10110,0,0.17378182349539084,0
16669,0,0.08183596320421674,0
28126,0,0.12230822666750729,0
29237,1,0.14240341535244008,0
36059,0,0.16937665394867002,0
8483,1,0.9156835243800635,1
11889,0,0.025680880987853965,0
15425,0,0.014672768271635179,0
19377,0,0.19285002027543083,0
14875,0,0.022905144111108607,0
43415,1,0.3384822249506575,1
44130,1,0.5348755103935479,1
34477,0,0.1300301227644138,0
33693,0,0.29944414781233303,1
38553,0,0.13241609197539916,0
41007,0,0.09251842518826071,0
35019,0,0.031041022572189193,0
8024,0,0.2076534303010477,1
40076,0,0.037022947621689,0
39218,0,0.1694022033318931,0
21904,0,0.01409803953241721,0
22593,1,0.36249844113420804,1
19036,0,0.17273108614056973,0
12285,1,0.3885432303676031,1
8420,0,0.13436303824925175,0
33722,0,0.021161654932074,0
25931,0,0.17111465102466816,0
41487,0,0.027381394117090858,0
21657,0,0.15484079467013195,0
4527,0,0.14237604415403973,0
1319,0,0.8251888487434641,1
289,0,0.4360179054122515,1
23224,0,0.09690053089070735,0
40350,0,0.0865304511632376,0
39386,0,0.8073066297614993,1
12713,0,0.35596232032104874,1
33981,0,0.3308901160871321,1
7771,0,0.21973495622819533,1
29408,0,0.09320758473478989,0
35189,0,0.2665194679450362,1
43052,1,0.4791532040784128,1
17882,0,0.03463934774132783,0
40678,0,0.01839130191487739,0
22549,0,0.3611443349214016,1
40741,0,0.08107257077393516,0
21928,0,0.055093536553140685,0
15221,0,0.02776401836934795,0
16792,0,0.18340994044546619,0
18842,0,0.04422075024778274,0
5489,0,0.5929969817236798,1
19326,0,0.07351771889793574,0
1255,0,0.12625349179469147,0
44432,1,0.04610218490386856,0
32522,1,0.12049820928787243,0
14900,1,0.36687398042357394,1
24828,0,0.24193737527183018,1
44867,1,0.06127701165045651,0
25752,0,0.09611413613575918,0
17638,1,0.3398289244042924,1
31393,0,0.19643853199663375,0
42415,1,0.24073219333542634,1
3723,0,0.4973661343268621,1
28529,0,0.03241081947473736,0
9791,1,0.7545006667428309,1
17978,0,0.021815322386746983,0
7091,0,0.043661888814744934,0
13585,0,0.5150348475936725,1
17898,0,0.35349765779219294,1
21857,0,0.10502126621514349,0
35743,0,0.014508842202348418,0
43375,1,0.8399424387824588,1
37757,0,0.16184689998263838,0
16615,0,0.030635445420732058,0
9788,0,0.22045774461916398,1
35972,0,0.12820645136673292,0
17667,1,0.7949671946995082,1
39274,0,0.020264652349217354,0
6286,0,0.3228171063230398,1
26086,0,0.09907732001174481,0
7270,0,0.10212894068699946,0
38157,0,0.03506068779957382,0
44810,1,0.4671168811959885,1
844,0,0.0760211062455421,0
35539,0,0.028085195483744087,0
37836,0,0.08240981494344315,0
11422,1,0.3832017932892867,1
20322,1,0.6090958375029439,1
14526,0,0.01525527722189058,0
34750,0,0.23342101802133328,1
39482,0,0.024414586484356054,0
30853,1,0.28562315293462553,1
911,0,0.09592373679913302,0
18467,1,0.2546989610160026,1
8723,0,0.32307088297860675,1
18537,1,0.27180774161101123,1
16690,0,0.08645091090068735,0
28224,0,0.023641404423777074,0
43999,1,0.5746655057456098,1
12659,0,0.1263797235013204,0
16269,0,0.8016542286547264,1
29123,1,0.44936953756471454,1
37380,0,0.04003550161346796,0
34312,0,0.11651893750293195,0
20392,1,0.3908582700920079,1
23219,0,0.16229308117505947,0
11383,0,0.28187309936937327,1
10373,0,0.6802608821662909,1
43283,1,0.7665255022245964,1
16901,0,0.6966400324825913,1
43839,1,0.493638166250449,1
2030,0,0.13906602775093638,0
41820,0,0.11485473133238423,0
16590,0,0.16705228696550856,0
1043,0,0.2649636404571319,1
39399,0,0.035892279719944964,0
42057,0,0.12463085361050118,0
9575,0,0.17634513145495279,0
40096,0,0.09269584718218626,0
3462,0,0.039017703419265616,0
37278,0,0.1575459404927474,0
2122,0,0.023631452431599188,0
31082,0,0.16577347850980892,0
35711,0,0.09887503841554711,0
16415,0,0.02795991305578339,0
37763,0,0.04928609586732864,0
44441,1,0.3383962376472196,1
12256,0,0.02572848598762213,0
20101,0,0.05897753586538038,0
28705,1,0.2588366368609087,1
35827,0,0.11961588758059012,0
18543,1,0.7899379063034612,1
33846,0,0.2849579640190392,1
41576,0,0.08030096578769369,0
4953,0,0.13728067244119757,0
17377,0,0.23385568970415319,1
3204,0,0.1748510527394741,0
17810,0,0.10114596965371432,0
37133,0,0.023618037756582395,0
37027,0,0.2256785240017595,1
22935,0,0.13879737263295086,0
40337,0,0.1312514762856614,0
34837,0,0.21958701123568752,1
34,0,0.09015816491971344,0
10457,1,0.18091891962168186,0
20599,0,0.1325156394045995,0
7502,1,0.5119515022402108,1
8033,0,0.7788309235437699,1
39742,0,0.03779760080280236,0
31553,0,0.12393001661025708,0
40615,0,0.025262077553209507,0
28480,0,0.03757029980204009,0
19653,0,0.12999431305773224,0
7130,0,0.1247635746986322,0
32080,0,0.08254543226482881,0
1525,0,0.02605440446294324,0
18008,0,0.0267544560528889,0
42166,1,0.5939498205926672,1
17910,0,0.03444784839298318,0
43139,1,0.5174791535049548,1
8886,0,0.028049503119042234,0
2763,0,0.11674608558009357,0
38144,0,0.09466808983564517,0
8814,0,0.01253030345552768,0
44058,1,0.5264661424898978,1
16364,0,0.2813043556283679,1
31382,0,0.2253959150532426,1
31321,0,0.01931121309307942,0
27234,0,0.05088806835070194,0
19536,0,0.08105255949373674,0
5317,0,0.06015774531550553,0
44358,1,0.1979653131323543,0
28467,0,0.17738149001364029,0
27258,0,0.01412505658952655,0
34033,0,0.5054760257399298,1
32411,1,0.3815265424157589,1
3379,0,0.2624683992213818,1
20135,1,0.24940566709611364,1
8636,0,0.07376302740873752,0
21643,0,0.3068943232172987,1
43399,1,0.4027939005996017,1
42129,1,0.8065386044999068,1
13990,0,0.11213621839412935,0
18909,0,0.5918226344917795,1
20300,0,0.03135717912574871,0
14467,0,0.10267057445376421,0
42230,1,0.3212146633324045,1
31331,0,0.01713043287290327,0
10679,0,0.13504557253721267,0
2970,1,0.21075850405826024,1
43592,1,0.903487075184321,1
14612,0,0.10498102951892035,0
28545,0,0.5071468345265656,1
40392,0,0.044957065129582016,0
14557,0,0.09484802423903797,0
10464,1,0.7950123195143183,1
44094,1,0.6590190708097532,1
40039,0,0.11700858215775885,0
32362,0,0.348598917712736,1
28845,0,0.0341091243187806,0
13987,0,0.09029623785156358,0
334,0,0.0388760136078544,0
16407,0,0.10702659146130644,0
16408,0,0.09936704380404629,0
8371,0,0.10435969056302405,0
29655,0,0.07654979693111846,0
34246,0,0.2276511859750167,1
22512,0,0.041730990771783105,0
21161,0,0.06818885350597126,0
12440,0,0.27924461086657376,1
35801,0,0.06001326505002645,0
30833,0,0.15718797047253918,0
11136,0,0.06581865290582153,0
6786,0,0.10667145031097913,0
18832,0,0.02283803938216421,0
18418,0,0.3250632011442272,1
33696,0,0.19801016979984556,0
896,1,0.3360984644955063,1
27550,0,0.017719319472215795,0
15613,0,0.19627051192660003,0
39631,0,0.20428493221632546,1
23556,0,0.027209985722216373,0
15778,0,0.023503365854629914,0
3585,0,0.05764876942812557,0
43012,1,0.6293959011039753,1
36360,0,0.11255423462508467,0
6433,0,0.4842088065602506,1
36255,0,0.15137801457583158,0
19467,0,0.14749803776539147,0
33302,0,0.12034928098966353,0
12381,0,0.42389501362873194,1
346,0,0.00926397706201554,0
38496,0,0.18639740308745034,0
25970,0,0.018329627660789244,0
111,0,0.024110400663910896,0
16796,0,0.07365323596795144,0
41910,0,0.027982183136733726,0
6693,0,0.039729998108298664,0
15700,0,0.015030839159947674,0
20502,0,0.5046382658928908,1
29359,1,0.30897472246840096,1
10258,0,0.12158779674984212,0
8038,0,0.27791403649512947,1
16862,0,0.07782119488756761,0
44576,1,0.5170430161790157,1
16363,0,0.12076366038168913,0
5616,0,0.05561890120941871,0
15454,1,0.21551810027708737,1
9765,0,0.4112533902687891,1
2517,0,0.4184433306021825,1
23349,0,0.027773577932467645,0
43201,1,0.12345117905845798,0
32300,0,0.09238245286827743,0
13870,0,0.15086308398561388,0
22966,0,0.03799966138584488,0
34819,0,0.10617364224527355,0
18944,0,0.2452367121946805,1
22626,0,0.14045151174258746,0
17096,0,0.009094821652834066,0
26492,0,0.08979760258406877,0
1652,0,0.05729509146729428,0
18126,1,0.2989130214803373,1
9731,0,0.024825181233482874,0
28428,0,0.15972744347444198,0
11109,1,0.7290676468154147,1
31427,0,0.05814085627383964,0
15229,0,0.02167471422700548,0
6901,0,0.06251626644443903,0
40771,0,0.1620205869752022,0
11989,0,0.057011497052290076,0
11566,0,0.0764603593075787,0
24725,0,0.06216686077807436,0
15681,0,0.01507294382188976,0
8433,0,0.07334980784258462,0
35697,0,0.13345602489386066,0
34616,0,0.03909083465748857,0
1497,0,0.027524428409595687,0
40512,0,0.15500863000130413,0
21896,0,0.07352903228491771,0
24881,0,0.06978537901843641,0
22670,0,0.28107783700550737,1
26790,1,0.5668199297389768,1
30993,0,0.2969511871414631,1
1227,1,0.768563589596132,1
22820,0,0.26674509747355735,1
33356,0,0.07587685517040704,0
15174,0,0.010947858610840834,0
716,1,0.4710863073950066,1
32499,0,0.015623172208936208,0
18473,1,0.4582085906616733,1
42944,1,0.8208407499292523,1
25756,0,0.11633648625534745,0
35118,0,0.10646216123133401,0
31563,0,0.01758783783234718,0
42067,0,0.06769787300370786,0
36216,0,0.08099852135299511,0
38712,0,0.15982853527026347,0
43977,1,0.20632051666282802,1
12481,0,0.6031511151036807,1
20555,1,0.1571213402530593,0
9089,0,0.06868225430684859,0
35247,0,0.018232473278484863,0
41463,0,0.061732203633487547,0
1869,0,0.3476676683286588,1
21554,0,0.2254540829014989,1
39351,0,0.12661619192825338,0
37353,0,0.5832962415837278,1
23237,0,0.11055852717339405,0
43508,1,0.42861346211233664,1
22527,0,0.040459594003656764,0
4305,1,0.27748400271274226,1
26368,1,0.016431140531456657,0
31090,1,0.25619600675289694,1
21642,0,0.050543355726784804,0
42131,1,0.933956448115916,1
5052,1,0.12768134988690746,0
34560,0,0.16359505975957325,0
37201,0,0.04246225628676569,0
34891,0,0.06914948064282571,0
1277,1,0.5613034358604758,1
14552,0,0.5119036780683303,1
19559,1,0.08460535013165499,0
42205,1,0.5617342919169803,1
19845,0,0.1614381746498642,0
12215,0,0.013956096717932678,0
14616,0,0.021822893201871054,0
43543,1,0.7630612926371522,1
43187,1,0.48436805389028115,1
19333,0,0.8233003436772809,1
36720,0,0.07939355205874275,0
29725,0,0.38968368138188686,1
40061,0,0.07858423366585392,0
2348,0,0.16156003276930608,0
21517,0,0.5679841493927396,1
19047,0,0.1055070072158761,0
16771,1,0.1955975103969274,0
30212,1,0.1013362393150584,0
40334,0,0.3266579845793268,1
10523,1,0.6756876027491464,1
31435,0,0.24737276997775634,1
30892,0,0.34836585266268266,1
7098,0,0.23950467312453397,1
35404,0,0.0429692856724956,0
26174,0,0.020241984954649846,0
37717,0,0.17876278747519067,0
12595,0,0.17267386723860076,0
27382,0,0.05114208302562923,0
38840,0,0.05824433008151855,0
14083,1,0.32625595021376236,1
37344,0,0.06253276318030061,0
36161,0,0.05921278756572533,0
5438,0,0.09469116213282198,0
31953,0,0.42708317888721004,1
23181,1,0.6487664136394559,1
32375,0,0.17771275697671202,0
28140,0,0.9717586052160597,1
4957,0,0.5081282688954607,1
4375,0,0.2497552474003201,1
43117,1,0.2398424040941216,1
4971,0,0.049035474685848186,0
38891,0,0.164760153356582,0
18893,0,0.024731599212483107,0
20542,0,0.01018016480487695,0
11929,1,0.46602094208614825,1
35104,0,0.3693840547751532,1
34243,0,0.014697701661852273,0
2628,1,0.737660789874605,1
9303,0,0.20507193884831826,1
11417,0,0.018637307994453525,0
31805,0,0.017558230191132874,0
44151,1,0.35920958774001527,1
19583,0,0.13826557668329725,0
106,0,0.3862206437276378,1
6787,0,0.1797027665879054,0
40459,0,0.6784227540667623,1
33881,0,0.309366838276356,1
36632,0,0.11615753630541302,0
37180,0,0.11718792448090751,0
20205,0,0.10620412516640447,0
7767,0,0.01948079135531003,0
34511,0,0.321732281940157,1
13410,0,0.16081424908058195,0
4008,0,0.026874851091894386,0
16691,0,0.08199147837313978,0
1502,1,0.1631715186741006,0
2164,0,0.03273842262612311,0
21198,0,0.033317669871006435,0
14931,0,0.027423506534003054,0
10742,1,0.1612885968806382,0
9628,0,0.05881382959936944,0
18485,0,0.08026202707093838,0
42679,1,0.5718633270837647,1
39009,0,0.05551357911899965,0
40754,0,0.02100550542138611,0
40552,0,0.15121589913654623,0
6427,0,0.23004505590421975,1
13078,0,0.10150695440955743,0
33487,0,0.02388302655264465,0
7682,0,0.1686271144368841,0
12716,0,0.1726553200124638,0
40388,0,0.0720220964737337,0
44821,1,0.6136985955237928,1
4478,0,0.5869270392202308,1
419,1,0.5402374445155813,1
30334,0,0.15535302619984495,0
39854,0,0.08546204216907173,0
21530,0,0.10102716074088221,0
40,1,0.916727810970433,1
29732,0,0.12663425045563664,0
18713,1,0.6281090490549667,1
15914,0,0.004544759458381969,0
9638,1,0.4906634746358725,1
14299,0,0.06141542233873143,0
35690,0,0.23586974763037893,1
32095,0,0.06497992268460562,0
29627,0,0.32339460712013995,1
35375,0,0.03961388883462325,0
32284,0,0.18195109328879525,0
6497,0,0.17261386133261944,0
8036,0,0.1439072572311063,0
17951,0,0.20121685506312653,1
5600,0,0.04138850534977408,0
29093,0,0.45907548629098205,1
24824,0,0.024411102682344286,0
41801,0,0.06375992973494794,0
35083,0,0.11497273580632568,0
2930,0,0.152754567298309,0
5942,1,0.49786271951374567,1
12035,0,0.09838078578233309,0
25586,1,0.2939361895803885,1
9856,0,0.10893281866384529,0
28397,0,0.2730484378366371,1
6094,0,0.1172112858138496,0
7384,0,0.1163960842464977,0
18293,1,0.5933421929793027,1
30113,0,0.03223750713884662,0
36725,0,0.1040005967898086,0
44311,1,0.14174004257912562,0
31191,0,0.5660844427604327,1
16973,1,0.10323394161299541,0
19339,0,0.20671806937018258,1
25520,0,0.3925075277052523,1
26903,0,0.01959983245576239,0
26910,0,0.014448036873477387,0
